"Pick_number","Team","Round","Year","stuart","johnson","hill","otc","pff","CBS"
1,"CHI",1,2023,34.6,3000,1000,3000,1.135,1000
2,"HOU",1,2023,30.2,2600,717.17,2635,1.099,777.06
3,"ARI",1,2023,27.6,2200,514.33,2421,1.063,658.52
4,"IND",1,2023,25.8,1800,490.52,2270,1.027,577.65
5,"SEA",1,2023,24.3,1700,467.81,2152,0.991,520.41
6,"DET",1,2023,23.2,1600,446.15,2056,0.955,477.44
7,"LV",1,2023,22.2,1500,425.5,1975,0.919,444.13
8,"ATL",1,2023,21.4,1400,405.8,1905,0.883,415.07
9,"CAR",1,2023,20.6,1350,387.01,1843,0.847,389.74
10,"PHI",1,2023,19.9,1300,369.09,1787,0.811,367.68
11,"TEN",1,2023,19.3,1250,357.62,1737,0.777,348.51
12,"HOU",1,2023,18.8,1200,346.51,1691,0.742,331.91
13,"NYJ",1,2023,18.3,1150,335.74,1649,0.715,316.11
14,"NE",1,2023,17.8,1100,325.31,1610,0.695,301.06
15,"GB",1,2023,17.4,1050,315.2,1574,0.675,286.72
16,"WAS",1,2023,16.9,1000,305.41,1540,0.66,273.07
17,"PIT",1,2023,16.6,950,295.92,1508,0.646,260.06
18,"DET",1,2023,16.2,900,286.72,1478,0.633,250.06
19,"TB",1,2023,15.8,875,277.81,1449,0.619,240.44
20,"SEA",1,2023,15.5,850,269.18,1422,0.606,231.2
21,"LAC",1,2023,15.2,800,260.82,1397,0.594,222.3
22,"BAL",1,2023,14.9,780,252.71,1372,0.584,216.88
23,"MIN",1,2023,14.6,760,244.86,1349,0.573,211.59
24,"JAX",1,2023,14.4,740,237.25,1326,0.565,206.43
25,"NYG",1,2023,14.1,720,229.88,1305,0.557,201.4
26,"DAL",1,2023,13.9,700,222.74,1284,0.549,196.48
27,"BUF",1,2023,13.6,680,215.81,1264,0.541,191.69
28,"CIN",1,2023,13.4,660,209.11,1245,0.533,187.02
29,"NO",1,2023,13.2,640,202.61,1227,0.525,182.46
30,"PHI",1,2023,12.9,620,196.31,1209,0.518,178
31,"KC",1,2023,12.7,600,190.21,1192,0.51,173.66
32,"PIT",2,2023,12.5,590,184.3,1175,0.502,169.43
33,"HOU",2,2023,12.3,580,179.54,1159,0.495,159.67
34,"ARI",2,2023,12.1,560,174.89,1143,0.487,155.78
35,"IND",2,2023,12,550,170.37,1128,0.48,151.98
36,"LAR",2,2023,11.8,540,165.97,1113,0.473,148.27
37,"SEA",2,2023,11.6,530,161.67,1098,0.465,144.65
38,"LV",2,2023,11.4,520,157.49,1084,0.458,141.13
39,"CAR",2,2023,11.3,510,153.42,1071,0.451,137.68
40,"NO",2,2023,11.1,500,149.45,1057,0.443,134.33
41,"TEN",2,2023,11,490,145.59,1044,0.436,131.05
42,"CLE",2,2023,10.8,480,141.82,1032,0.429,127.85
43,"NYJ",2,2023,10.6,470,138.15,1019,0.422,124.74
44,"ATL",2,2023,10.5,460,134.58,1007,0.415,121.69
45,"GB",2,2023,10.4,450,131.1,995,0.409,118.73
46,"NE",2,2023,10.2,440,127.71,984,0.402,115.83
47,"WAS",2,2023,10.1,430,124.41,973,0.396,113
48,"DET",2,2023,9.9,420,121.19,961,0.39,110.25
49,"PIT",2,2023,9.8,410,118.06,951,0.384,107.56
50,"TB",2,2023,9.7,400,115,940,0.378,104.94
51,"MIA",2,2023,9.6,390,112.03,929,0.373,102.38
52,"SEA",2,2023,9.4,380,109.13,919,0.368,99.88
53,"CHI",2,2023,9.3,370,106.31,909,0.363,97.44
54,"LAC",2,2023,9.2,360,103.56,899,0.357,95.07
55,"DET",2,2023,9.1,350,100.88,890,0.352,92.75
56,"JAX",2,2023,9,340,98.27,880,0.347,90.49
57,"NYG",2,2023,8.9,330,95.73,871,0.342,88.28
58,"DAL",2,2023,8.7,320,93.26,862,0.337,86.13
59,"BUF",2,2023,8.6,310,90.84,853,0.332,84.02
60,"CIN",2,2023,8.5,300,88.49,844,0.327,81.98
61,"CAR",2,2023,8.4,292,86.21,835,0.322,79.98
62,"PHI",2,2023,8.3,284,83.98,827,0.316,78.03
63,"KC",2,2023,8.2,276,81.81,818,0.311,76.12
64,"CHI",3,2023,8.1,270,76.69,810,0.306,74.27
65,"HOU",3,2023,8,265,77.95,802,0.301,72.45
66,"ARI",3,2023,7.9,260,76.25,794,0.296,70.69
67,"DEN",3,2023,7.8,255,74.59,786,0.292,68.96
68,"DEN",3,2023,7.7,250,72.97,778,0.287,67.28
69,"LAR",3,2023,7.6,245,71.38,770,0.283,65.64
70,"LV",3,2023,7.5,240,69.82,763,0.279,64.04
71,"NO",3,2023,7.5,235,68.3,755,0.275,62.48
72,"TEN",3,2023,7.4,230,66.81,748,0.271,60.95
73,"HOU",3,2023,7.3,225,65.36,741,0.267,59.47
74,"NYJ",3,2023,7.2,220,63.93,733,0.264,58.02
75,"ATL",3,2023,7.1,215,62.54,726,0.26,56.6
