"","trade_id","gave","received","chart_type","amount_given","amount_received","difference","given_percentage","received_percentage","season","trade_date","pick_number","position","given","offered","pfr_name"
"1",16,"DET","CLE","hill",446.15,587.17,-141.02,-0.316082035189959,-0.240168945961136,2004,2004-04-24,6,"non-QB","6","7, 37","Kellen Winslow"
"2",16,"DET","CLE","johnson",1600,2030,-430,-0.26875,-0.211822660098522,2004,2004-04-24,6,"non-QB","6","7, 37","Kellen Winslow"
"3",16,"DET","CLE","otc",2056,3073,-1017,-0.494649805447471,-0.330946957370648,2004,2004-04-24,6,"non-QB","6","7, 37","Kellen Winslow"
"4",16,"DET","CLE","pff",0.955,1.384,-0.429,-0.449214659685864,-0.309971098265896,2004,2004-04-24,6,"non-QB","6","7, 37","Kellen Winslow"
"5",16,"DET","CLE","stuart",23.2,33.8,-10.6,-0.456896551724138,-0.313609467455621,2004,2004-04-24,6,"non-QB","6","7, 37","Kellen Winslow"
"6",17,"SF","PHI","hill",305.41,302.37,3.04000000000002,0.00995383255296166,0.0100539074643649,2004,2004-04-24,16,"non-QB","16","28, 58","Shawn Andrews"
"7",17,"SF","PHI","johnson",1000,980,20,0.02,0.0204081632653061,2004,2004-04-24,16,"non-QB","16","28, 58","Shawn Andrews"
"8",17,"SF","PHI","otc",1540,2107,-567,-0.368181818181818,-0.269102990033223,2004,2004-04-24,16,"non-QB","16","28, 58","Shawn Andrews"
"9",17,"SF","PHI","pff",0.66,0.87,-0.21,-0.318181818181818,-0.241379310344828,2004,2004-04-24,16,"non-QB","16","28, 58","Shawn Andrews"
"10",17,"SF","PHI","stuart",16.9,22.1,-5.2,-0.307692307692308,-0.235294117647059,2004,2004-04-24,16,"non-QB","16","28, 58","Shawn Andrews"
"11",18,"MIN","MIA","hill",277.81,292.8,-14.99,-0.0539577409020554,-0.0511953551912569,2004,2004-04-24,19,"non-QB","19","20, 119","Vernon Carey"
"12",18,"MIN","MIA","johnson",875,906,-31,-0.0354285714285714,-0.0342163355408389,2004,2004-04-24,19,"non-QB","19","20, 119","Vernon Carey"
"13",18,"MIN","MIA","otc",1449,1905,-456,-0.314699792960663,-0.239370078740157,2004,2004-04-24,19,"non-QB","19","20, 119","Vernon Carey"
"14",18,"MIN","MIA","pff",0.619,0.763,-0.144,-0.232633279483037,-0.18872870249017,2004,2004-04-24,19,"non-QB","19","20, 119","Vernon Carey"
"15",18,"MIN","MIA","stuart",15.8,19.7,-3.9,-0.246835443037975,-0.197969543147208,2004,2004-04-24,19,"non-QB","19","20, 119","Vernon Carey"
"16",19,"BUF","DAL","hill",457.1,252.71,204.39,0.447145044847955,0.808792687269993,2004,2004-04-24,20,"non-QB","20, 43, 144","22","Kenechi Udeze"
"17",19,"BUF","DAL","johnson",1504,780,724,0.481382978723404,0.928205128205128,2004,2004-04-24,20,"non-QB","20, 43, 144","22","Kenechi Udeze"
"18",19,"BUF","DAL","otc",2942,1372,1570,0.533650577838205,1.14431486880466,2004,2004-04-24,20,"non-QB","20, 43, 144","22","Kenechi Udeze"
"19",19,"BUF","DAL","pff",1.209,0.584,0.625,0.516956162117453,1.07020547945206,2004,2004-04-24,20,"non-QB","20, 43, 144","22","Kenechi Udeze"
"20",19,"BUF","DAL","stuart",30.5,14.9,15.6,0.511475409836066,1.04697986577181,2004,2004-04-24,20,"non-QB","20, 43, 144","22","Kenechi Udeze"
"21",20,"CIN","STL","hill",237.25,244.35,-7.10000000000002,-0.0299262381454163,-0.0290566809903827,2004,2004-04-24,24,"non-QB","24","26, 123","Steven Jackson"
"22",20,"CIN","STL","johnson",740,749,-9,-0.0121621621621622,-0.0120160213618158,2004,2004-04-24,24,"non-QB","24","26, 123","Steven Jackson"
"23",20,"CIN","STL","otc",1326,1750,-424,-0.319758672699849,-0.242285714285714,2004,2004-04-24,24,"non-QB","24","26, 123","Steven Jackson"
"24",20,"CIN","STL","pff",0.565,0.7,-0.135,-0.238938053097345,-0.192857142857143,2004,2004-04-24,24,"non-QB","24","26, 123","Steven Jackson"
